event_id,outcome,npy_sha256_before,npy_sha256_after,n_channels_before,n_channels_after
era5_1996_05_14_0000_1996134N11246,appended,a92dfd83735e77466660ee300f72bfd1daf78ff8b3d98f37b2df370d6e40e812,0ccd3c34631bdc010e0de728b5892c00b921a2801d38084b76adcb1dc31e48f3,12,14
era5_1996_05_14_0600_1996134N11246,appended,53ead0d281b201c7984c3dd095c618b6f553b294fd4dbb692228622b968d1dcc,0d6f0e1225a26b578445b42351ccea79277e306cc96de2342595075cc1f1414b,12,14
era5_1996_05_14_1200_1996134N11246,appended,bea3aa0d492aefa2e7c40fdb6c42a974cc4eb2260b0dcf0f794db18fd74fae05,672ae5708f2cae68f3204e4394fd20af22df4bb07ee61ed1152c46b2715b51da,12,14
era5_1996_05_14_1800_1996134N11246,appended,45f9289adfb1ed006715ed61cfaeb685fe07d0b73da932b298931fa18fc9042d,688895120826a3ed366b1c7fb75c614c364e76f376eba5da5c7e00e29a3e11fe,12,14
era5_1996_05_15_0000_1996134N11246,appended,828c011b7cae1800d2cbc86731b2975b2338e048cfc97862a2fb2f93e702ce2a,b575a7ab59305807bbec4c70b2325431854b6b680bdb2db1e373f925e23f89fe,12,14
era5_1996_05_15_0600_1996134N11246,appended,1cd6ec33494a29b32894aa3c7d78e3ddd1898d6f5c7559d40a4d10ce1774b53c,457bb8229305bcfbf67950c7696d9db60a24ffea1f864a8fed7e1eedad8272c6,12,14
era5_1996_05_15_1200_1996134N11246,appended,5417f5a5f6150673371268e8fd601c5268064a6290a1085185e853fcaf8ad0d7,aff8758476c193009a06205549ee64552af05fea310d2254d48cd6a9c0fcdedd,12,14
era5_1996_05_15_1200_1996137N13251,appended,c9404d60162846f09280150056a4ac0ef2fd621dfd29645918361dc4058db80d,0fcff95f687e25a85d8de0a1d0877824a000f75169ed4e30459b5bc3e488308c,12,14
era5_1996_05_15_1800_1996134N11246,appended,0c57d400bd9d449c3c128ab1ca456f2b894bfad8d5a1711a2576e0f8ba7598c0,783a0eb9aaded56cf2c5d3e506971d509c88699afbcce0e712c610eaf526cca9,12,14
era5_1996_05_15_1800_1996137N13251,appended,7cea7c6af78bc2200428af2bde8fde683a994cdf4c1d75ec4c93af187f8a1b3b,3037e8e445a0d594568681a4384a383607b54d1efc94e1dccca949cb9fba19e4,12,14
era5_1996_05_16_0000_1996137N13251,appended,ab83e64a646da4aa9b2cbdbbebe562f4955da4c1e680736123023291b8ff5294,c64b826ddbdabd56856c3a427fc4e77d6c350b1cef6765e3e3dc41c17c227c67,12,14
era5_1996_05_16_0600_1996137N13251,appended,1158926578d4d91ceddbb9cd4e1f9a834c5b5b05d9e58f139f7521945962ab66,9a0daf6ca9a8a549a3e808ec6a04f528446740af039581152607f5767bf16f84,12,14
era5_1996_05_16_1200_1996137N13251,appended,3e9efb84761f06e213921959b94aa16a02b785fde9fb6775994f0134cca96e20,04a1c3a11d4dbf85f9fd045607183672ca4efd437a374849e5188526791af67f,12,14
era5_1996_05_16_1800_1996137N13251,appended,99729377ecafcef7db5b975403c103669f1ee4eb6922d268660515afc8c713a9,df80bf1789626abbcb342e5aa6a32cad4eb7a548d2f25f1241af63581de61f39,12,14
