sid,storm_name,name,basin,timestamp,datetime,lat,lon,wind_kt,pressure_mb,dv12_kt,dv24_kt,ri_label,wind_kt_shift_12,wind_kt_shift_24
2014142N10254,AMANDA,AMANDA,EP,2014-05-22 06:00:00,20140522 0600,10.1,-106.4,25.0,1007.0,0.0,5.0,0,25.0,30.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-22 12:00:00,20140522 1200,10.2,-106.8,25.0,1007.0,0.0,5.0,0,25.0,30.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-22 18:00:00,20140522 1800,10.3,-107.2,25.0,1007.0,5.0,10.0,0,30.0,35.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-23 00:00:00,20140523 0000,10.5,-107.6,25.0,1007.0,5.0,20.0,0,30.0,45.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-23 06:00:00,20140523 0600,10.7,-108.0,30.0,1006.0,5.0,25.0,0,35.0,55.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-23 12:00:00,20140523 1200,10.8,-108.3,30.0,1006.0,15.0,35.0,1,45.0,65.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-23 18:00:00,20140523 1800,10.9,-108.6,35.0,1005.0,20.0,40.0,1,55.0,75.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-24 00:00:00,20140524 0000,11.0,-109.0,45.0,1002.0,20.0,45.0,1,65.0,90.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-24 06:00:00,20140524 0600,11.1,-109.4,55.0,996.0,20.0,65.0,1,75.0,120.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-24 12:00:00,20140524 1200,11.2,-109.8,65.0,989.0,25.0,70.0,1,90.0,135.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-24 18:00:00,20140524 1800,11.3,-110.1,75.0,983.0,45.0,60.0,1,120.0,135.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-25 00:00:00,20140525 0000,11.5,-110.5,90.0,973.0,45.0,35.0,1,135.0,125.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-25 06:00:00,20140525 0600,11.6,-110.8,120.0,946.0,15.0,0.0,0,135.0,120.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-25 12:00:00,20140525 1200,11.7,-111.1,135.0,932.0,-10.0,-20.0,0,125.0,115.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-25 18:00:00,20140525 1800,12.0,-111.2,135.0,933.0,-15.0,-25.0,0,120.0,110.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-26 00:00:00,20140526 0000,12.3,-111.3,125.0,941.0,-10.0,-20.0,0,115.0,105.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-26 06:00:00,20140526 0600,12.7,-111.5,120.0,945.0,-10.0,-20.0,0,110.0,100.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-26 12:00:00,20140526 1200,12.9,-111.6,115.0,949.0,-10.0,-20.0,0,105.0,95.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-26 18:00:00,20140526 1800,13.2,-111.8,110.0,953.0,-10.0,-25.0,0,100.0,85.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-27 00:00:00,20140527 0000,13.5,-111.9,105.0,958.0,-10.0,-30.0,0,95.0,75.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-27 06:00:00,20140527 0600,14.0,-112.1,100.0,962.0,-15.0,-35.0,0,85.0,65.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-27 12:00:00,20140527 1200,14.2,-112.4,95.0,966.0,-20.0,-40.0,0,75.0,55.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-27 18:00:00,20140527 1800,14.5,-112.7,85.0,972.0,-20.0,-35.0,0,65.0,50.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-28 00:00:00,20140528 0000,14.5,-112.6,75.0,983.0,-20.0,-30.0,0,55.0,45.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-28 06:00:00,20140528 0600,14.6,-112.5,65.0,989.0,-15.0,-30.0,0,50.0,35.0
2014142N10254,AMANDA,AMANDA,EP,2014-05-28 12:00:00,20140528 1200,14.9,-112.2,55.0,996.0,-10.0,-25.0,0,45.0,30.0
2014153N12267,BORIS,BORIS,EP,2014-06-01 12:00:00,20140601 1200,11.7,-93.5,20.0,1007.0,5.0,5.0,0,25.0,25.0
2014153N12267,BORIS,BORIS,EP,2014-06-01 18:00:00,20140601 1800,11.9,-93.4,20.0,1006.0,5.0,5.0,0,25.0,25.0
2014153N12267,BORIS,BORIS,EP,2014-06-02 00:00:00,20140602 0000,12.1,-93.4,25.0,1005.0,0.0,5.0,0,25.0,30.0
2014153N12267,BORIS,BORIS,EP,2014-06-02 06:00:00,20140602 0600,12.4,-93.5,25.0,1004.0,0.0,5.0,0,25.0,30.0
2014153N12267,BORIS,BORIS,EP,2014-06-02 12:00:00,20140602 1200,12.8,-93.8,25.0,1002.0,5.0,10.0,0,30.0,35.0
2014153N12267,BORIS,BORIS,EP,2014-06-02 18:00:00,20140602 1800,13.2,-94.1,25.0,1001.0,5.0,15.0,0,30.0,40.0
