event_id,status
era5_2022_05_27_1800_2022148N13263,not_extracted
era5_2022_05_28_0000_2022148N13263,extracted
era5_2022_05_28_0600_2022148N13263,extracted
era5_2022_05_28_1200_2022148N13263,extracted
era5_2022_05_28_1800_2022148N13263,extracted
era5_2022_05_29_0000_2022148N13263,extracted
era5_2022_05_29_0600_2022148N13263,not_extracted
era5_2022_05_29_1200_2022148N13263,not_extracted
era5_2022_05_29_1800_2022148N13263,not_extracted
era5_2022_05_30_0000_2022148N13263,not_extracted
era5_2022_05_30_0600_2022148N13263,not_extracted
era5_2022_05_30_1200_2022148N13263,not_extracted
era5_2022_05_30_1800_2022148N13263,not_extracted
era5_2022_05_31_0000_2022148N13263,not_extracted
era5_2022_05_31_0600_2022148N13263,not_extracted
era5_2022_06_02_1800_2022154N21273,not_extracted
era5_2022_06_03_0000_2022154N21273,extracted
era5_2022_06_03_0600_2022154N21273,extracted
era5_2022_06_03_1200_2022154N21273,extracted
era5_2022_06_03_1800_2022154N21273,extracted
era5_2022_06_04_0000_2022154N21273,extracted
era5_2022_06_04_0600_2022154N21273,extracted
era5_2022_06_04_1200_2022154N21273,not_extracted
era5_2022_06_04_1800_2022154N21273,not_extracted
era5_2022_06_05_0000_2022154N21273,extracted
era5_2022_06_05_0600_2022154N21273,extracted
era5_2022_06_05_1200_2022154N21273,extracted
era5_2022_06_05_1800_2022154N21273,extracted
era5_2022_06_14_0600_2022165N14258,not_extracted
era5_2022_06_14_1200_2022165N14258,not_extracted
era5_2022_06_14_1800_2022165N14258,not_extracted
era5_2022_06_15_0000_2022165N14258,extracted
era5_2022_06_15_0600_2022165N14258,extracted
era5_2022_06_15_1200_2022165N14258,not_extracted
era5_2022_06_15_1800_2022165N14258,extracted
era5_2022_06_16_0000_2022165N14258,not_extracted
era5_2022_06_16_0600_2022165N14258,extracted
era5_2022_06_16_1200_2022165N14258,extracted
era5_2022_06_16_1800_2022165N14258,extracted
era5_2022_06_17_0000_2022165N14258,extracted
era5_2022_06_17_0600_2022165N14258,extracted
era5_2022_06_17_1200_2022165N14258,extracted
era5_2022_06_17_1800_2022165N14258,extracted
era5_2022_06_18_0000_2022165N14258,extracted
era5_2022_06_18_0600_2022165N14258,extracted
era5_2022_06_18_1200_2022165N14258,extracted
era5_2022_06_18_1800_2022165N14258,extracted
era5_2022_06_19_0000_2022165N14258,extracted
era5_2022_06_19_0600_2022165N14258,extracted
era5_2022_06_19_1200_2022165N14258,extracted
era5_2022_06_19_1800_2022165N14258,extracted
