event_id,y_true,dv24_kt,peak_lat,peak_lon,disp_km,bearing_fuel,bearing_sst_max,bearing_rh_max,bearing_shear_min
era5_1980_08_14_0600_1980226N15339,0,0.0,21.0,-30.5,308.63556885717,322.7303984408199,149.04754288816468,,
era5_1980_08_14_1200_1980226N15339,0,0.0,23.0,-32.0,392.5275513992751,328.5506882705901,135.63212698284786,,
era5_1980_08_14_1800_1980226N15339,0,0.0,23.25,-33.75,327.37666425588856,320.2162617711271,318.17398278494414,,
era5_1980_08_15_0000_1980226N15339,0,0.0,24.25,-35.25,339.8857360868106,317.8332604943472,318.71012601765,,
era5_1980_08_15_0600_1980226N15339,0,-5.0,25.0,-35.25,222.16515158607893,334.4690107653049,314.90440548190765,,
era5_1980_08_15_1200_1980226N15339,0,-5.0,25.25,-37.0,121.603130031286,294.52987793977337,312.06809082467146,,
era5_1980_08_15_1800_1980226N15339,0,-5.0,25.75,-38.25,201.53654007294045,211.45660731262512,273.71512231643095,,
era5_1980_08_16_0000_1980226N15339,0,-10.0,26.5,-38.5,431.3669972312507,206.01243234562875,248.5211660533205,,
era5_1980_08_25_0000_1980238N16328,0,5.0,17.75,-34.25,349.085477569143,306.48211224635537,181.81414087167954,,
era5_1980_08_25_0600_1980238N16328,0,0.0,18.0,-35.5,292.0751108394321,327.0956297594338,155.21746704502777,,
era5_1980_08_25_1200_1980238N16328,0,0.0,17.75,-37.25,308.344750858672,317.9434816250118,143.26077827542315,,
era5_1980_08_25_1800_1980238N16328,0,5.0,18.5,-37.75,334.8833253502552,344.4687871942567,226.2852403481354,,
era5_1980_08_26_0000_1980238N16328,0,5.0,18.75,-38.75,364.53249068874385,352.52749498038696,219.47063448142865,,
era5_1980_08_26_0600_1980238N16328,0,5.0,18.25,-39.75,316.9502097770678,0.9549306071413071,226.62472277090149,,
era5_1980_08_26_1200_1980238N16328,0,5.0,16.75,-42.25,200.92506940441453,318.51108881528177,226.91841875928583,,
era5_1980_08_26_1800_1980238N16328,0,0.0,18.75,-43.25,384.54189633458947,356.07242566875516,219.55364830111984,,
era5_1980_08_27_0000_1980238N16328,0,0.0,19.0,-44.5,402.5493959340771,6.00064852309157,226.02822050173472,,
era5_1980_08_27_0600_1980238N16328,0,0.0,19.0,-45.25,391.9823403048139,24.579166840006337,211.22832725206678,,
era5_1980_08_27_1200_1980238N16328,0,-5.0,19.5,-46.75,445.6173617458497,28.84789811616588,191.11483476759287,,
era5_1980_08_27_1800_1980238N16328,0,-5.0,20.25,-49.0,437.99893156654804,25.403442323517538,227.76888578302848,,
