event_id,y_true,dv24_kt,peak_lat,peak_lon,disp_km,bearing_fuel,bearing_sst_max,bearing_rh_max,bearing_shear_min
era5_1980_08_14_0600_1980226N15339,0,0.0,23.0,-32.0,579.2568741336767,324.2961462357525,149.04754288816468,,
era5_1980_08_14_1200_1980226N15339,0,0.0,23.0,-35.0,615.4297897008177,303.7143506727296,135.63212698284786,,
era5_1980_08_14_1800_1980226N15339,0,0.0,25.25,-36.75,699.8565263258345,313.42991459987246,318.17398278494414,,
era5_1980_08_15_0000_1980226N15339,0,0.0,24.75,-38.0,594.8551335790274,301.903239578827,318.71012601765,,
era5_1980_08_15_0600_1980226N15339,0,-5.0,25.25,-38.0,438.9733968038358,302.0302074748421,314.90440548190765,,
era5_1980_08_15_1200_1980226N15339,0,-5.0,26.0,-37.75,228.7643239090125,306.07456339282646,312.06809082467146,,
era5_1980_08_15_1800_1980226N15339,0,-5.0,26.25,-39.75,278.7636320121956,245.81851143270114,273.71512231643095,,
era5_1980_08_16_0000_1980226N15339,0,-10.0,25.75,-41.0,640.4679457670911,223.51404442901304,248.5211660533205,,
era5_1980_08_25_0000_1980238N16328,0,5.0,19.0,-36.5,623.6123626694074,304.2673195889654,181.81414087167954,,
era5_1980_08_25_0600_1980238N16328,0,0.0,18.75,-39.0,623.9820977721739,302.4347328902148,155.21746704502777,,
era5_1980_08_25_1200_1980238N16328,0,0.0,17.75,-40.25,574.2610803493166,294.08400346012473,143.26077827542315,,
era5_1980_08_25_1800_1980238N16328,0,5.0,20.5,-38.0,557.1182238834298,348.11812920511295,226.2852403481354,,
era5_1980_08_26_0000_1980238N16328,0,5.0,20.5,-38.75,558.0058985890831,355.17571258594893,219.47063448142865,,
era5_1980_08_26_0600_1980238N16328,0,5.0,20.0,-40.0,511.9349343975489,357.65794993707436,226.62472277090149,,
era5_1980_08_26_1200_1980238N16328,0,5.0,15.75,-46.0,536.958089813938,274.8252990257473,226.91841875928583,,
era5_1980_08_26_1800_1980238N16328,0,0.0,16.5,-47.0,448.0757856566266,287.8657264694266,219.55364830111984,,
era5_1980_08_27_0000_1980238N16328,0,0.0,20.0,-45.5,515.4276903208568,353.00605986884256,226.02822050173472,,
era5_1980_08_27_0600_1980238N16328,0,0.0,19.0,-45.75,372.85249214626083,17.231384984309955,211.22832725206678,,
era5_1980_08_27_1200_1980238N16328,0,-5.0,19.0,-45.5,483.43708718429275,45.88705527601155,191.11483476759287,,
era5_1980_08_27_1800_1980238N16328,0,-5.0,19.75,-47.5,486.26629001942615,45.27735948732089,227.76888578302848,,
era5_1980_08_28_0000_1980238N16328,0,-10.0,19.75,-48.0,540.1886997148214,65.5924287039295,221.17936378219144,,
era5_1980_09_08_1200_1980250N13341,0,20.0,18.0,-26.5,589.423504632167,15.633277393391438,238.25574723429895,,
era5_1980_09_08_1800_1980250N13341,0,0.0,12.25,-29.0,61.15720965450739,180.0,230.3107091141097,,
era5_1980_09_09_0000_1980250N13341,0,-10.0,12.25,-29.75,61.39756556434766,174.92309698751296,229.00848666662284,,
era5_1980_09_09_0600_1980250N13341,0,-10.0,12.25,-30.75,77.20137375216446,200.60293782160716,220.604742163928,,
era5_1980_09_09_1200_1980250N13341,0,-15.0,13.75,-31.0,89.48826624929858,21.229020666720317,213.81964063538473,,
era5_1980_09_09_1800_1980250N13341,0,-10.0,11.5,-32.5,193.96003011697906,192.98785178691205,206.87011798831165,,
era5_1980_09_10_0000_1980250N13341,0,-5.0,11.75,-33.25,187.36210214096562,191.73538895247043,198.81839925956788,,
era5_1980_09_10_0600_1980250N13341,0,0.0,9.0,-33.0,536.5091854056906,174.1184569230436,226.12002111803164,,
era5_1980_09_10_1200_1980250N13341,0,5.0,13.0,-34.0,133.87087251655595,175.35749366901598,226.10598933481944,,
era5_1980_09_10_1800_1980250N13341,0,5.0,13.25,-34.5,183.78835561996092,176.62337260058234,235.10273318916214,,
era5_1980_09_11_0000_1980250N13341,0,-5.0,13.0,-34.75,267.3571509876155,176.51401153131928,230.70958874617705,,
era5_1980_09_11_0600_1980250N13341,0,-10.0,13.5,-35.0,277.98731661139686,180.0,226.267788223016,,
era5_1980_09_11_1200_1980250N13341,0,-10.0,15.0,-35.75,152.3717000082267,198.49547352758523,222.54304610324786,,
