event_id,y_true,pred_lat,pred_lon,tchp_lat,tchp_lon,center_lat,center_lon,lat_min,lat_max,lon_min,lon_max,fuel_to_tchp_km,center_to_tchp_km
era5_2022_08_31_1200_2022244N38313,0,39.25,-46.5,37.5,-48.5,37.5,-46.6,32.75,42.5,-51.5,-41.75,261.2549324553712,167.60920002345082
era5_2022_08_31_1800_2022244N38313,0,39.75,-46.25,37.5,-48.5,37.8,-46.1,33.0,42.75,-51.0,-41.25,317.46254660079734,213.90513703002745
era5_2022_09_01_0000_2022244N38313,1,39.75,-45.75,33.75,-43.25,38.0,-45.6,33.25,43.0,-50.5,-40.75,703.2805523769154,517.7915216757093
era5_2022_09_01_0600_2022244N38313,1,38.5,-45.0,33.75,-43.25,38.1,-45.19999999999999,33.25,43.0,-50.25,-40.5,551.0327944704392,514.5434235970469
era5_2022_09_01_1200_2022244N38313,1,37.5,-45.75,33.75,-43.25,38.1,-44.80000000000001,33.25,43.0,-49.75,-40.0,474.2177481649171,503.4068812874997
era5_2022_09_01_1800_2022244N38313,0,38.25,-44.75,33.75,-43.25,38.0,-44.400000000000006,33.25,43.0,-49.5,-39.75,518.2287073704061,483.7911768853638
era5_2022_09_02_0000_2022244N38313,0,38.5,-44.75,33.75,-43.25,37.9,-44.1,33.25,43.0,-49.0,-39.25,545.0622622887403,467.77187491219064
era5_2022_09_02_0600_2022244N38313,0,37.75,-44.75,33.75,-43.25,37.8,-43.80000000000001,33.0,42.75,-48.75,-39.0,464.9011967428285,453.06173999328354
era5_2022_09_02_1200_2022244N38313,0,38.25,-44.75,33.75,-43.25,37.8,-43.6,33.0,42.75,-48.5,-38.75,518.2287073704061,451.4438462607014
era5_2022_09_02_1800_2022244N38313,0,38.0,-44.75,33.75,-43.25,37.9,-43.5,33.25,43.0,-48.5,-38.75,491.5021981384897,462.008458138263
era5_2022_09_03_0000_2022244N38313,0,38.5,-44.75,33.5,-43.0,38.0,-43.6,33.25,43.0,-48.5,-38.75,577.7974554396159,503.29436046820325
era5_2022_09_03_0600_2022244N38313,0,38.0,-46.0,33.5,-43.0,38.0,-43.80000000000001,33.25,43.0,-48.75,-39.0,568.8315653853844,505.55163638923784
era5_2022_09_03_1200_2022244N38313,0,38.0,-46.25,33.5,-43.0,38.0,-44.19999999999999,33.25,43.0,-49.25,-39.5,579.8923479950513,511.9460976010069
era5_2022_09_03_1800_2022244N38313,0,38.0,-46.5,33.5,-43.0,38.0,-44.6,33.25,43.0,-49.5,-39.75,591.6054396352309,520.7663053014886
era5_2022_09_04_0000_2022244N38313,0,38.0,-47.25,33.5,-43.0,37.9,-45.0,33.25,43.0,-50.0,-40.25,630.2841456500676,521.4854953035098
era5_2022_09_04_0600_2022244N38313,0,37.75,-47.5,33.5,-43.0,37.9,-45.30000000000001,33.25,43.0,-50.25,-40.5,623.3281457267437,531.4619184247144
era5_2022_09_04_1200_2022244N38313,0,38.0,-47.5,33.25,-43.0,38.1,-45.400000000000006,33.25,43.0,-50.5,-40.75,666.4302924890078,581.1731749151741
era5_2022_09_04_1800_2022244N38313,0,38.25,-47.0,33.5,-43.0,38.4,-45.19999999999999,33.75,43.5,-50.25,-40.5,639.2584628919683,579.6735300617473
era5_2022_09_05_0000_2022244N38313,0,38.5,-46.5,33.75,-43.25,38.7,-45.0,34.0,43.75,-50.0,-40.25,603.3583958781442,572.3265542286941
era5_2022_09_05_0600_2022244N38313,0,38.5,-46.5,34.25,-43.5,39.2,-44.6,34.5,44.25,-49.5,-39.75,543.4854520321329,559.0632276590923
era5_2022_09_05_1200_2022244N38313,0,39.75,-45.5,37.5,-48.5,39.9,-44.1,35.25,45.0,-49.0,-39.25,361.2225209235671,465.75035164067884
era5_2022_09_05_1800_2022244N38313,0,40.75,-44.25,37.5,-48.5,40.6,-43.6,35.75,45.5,-48.5,-38.75,514.6559939796765,545.6087976833592
era5_2022_09_06_0000_2022244N38313,0,41.5,-43.75,37.5,-48.0,41.3,-43.1,36.5,46.25,-48.0,-38.25,574.9887546723342,596.2927295864732
era5_2022_09_06_0600_2022244N38313,0,42.0,-43.25,37.5,-47.5,41.8,-42.5,37.0,46.75,-47.5,-37.75,618.1895723495982,641.5253882779904
era5_2022_09_06_1200_2022244N38313,0,42.5,-43.0,37.25,-46.75,42.1,-41.80000000000001,37.25,47.0,-46.75,-37.0,665.5530812830528,685.5204729576313
era5_2022_09_06_1800_2022244N38313,0,42.5,-42.25,38.0,-41.0,42.3,-41.0,37.5,47.25,-46.0,-36.25,511.4809981920977,478.1381845716018
era5_2022_09_07_0000_2022244N38313,0,42.25,-41.5,37.5,-39.0,42.5,-39.900000000000006,37.75,47.5,-45.0,-35.25,569.5613024063495,561.2247562412449
era5_2022_09_07_0600_2022244N38313,0,42.25,-40.25,38.0,-40.5,42.9,-38.6,38.25,48.0,-43.5,-33.75,473.0555463475105,568.0345816620608
era5_2022_09_07_1200_2022244N38313,0,42.25,-38.75,38.5,-40.0,43.5,-37.19999999999999,38.75,48.5,-42.25,-32.5,430.2006386064655,603.4915841832822
era5_2022_09_07_1800_2022244N38313,0,42.75,-37.0,39.5,-40.5,44.4,-35.599999999999994,39.75,49.5,-40.5,-30.75,465.2467934447099,678.73875816667
era5_2022_09_08_0000_2022244N38313,0,42.5,-35.0,40.5,-38.75,45.3,-33.900000000000006,40.5,50.25,-39.0,-29.25,383.32788303512643,663.7565089865617
era5_2022_09_08_0600_2022244N38313,0,42.25,-33.5,41.25,-37.25,46.2,-32.400000000000006,41.5,51.25,-37.5,-27.75,330.33124042033285,674.1282952911387
era5_2022_09_08_1200_2022244N38313,0,43.5,-32.25,42.5,-36.25,47.3,-31.40000000000001,42.5,52.25,-36.5,-26.75,343.7281556099617,656.0624494779602
era5_2022_09_08_1800_2022244N38313,0,44.75,-31.75,43.5,-35.75,48.5,-30.80000000000001,43.75,53.5,-35.75,-26.0,348.1650564871107,674.4338989802878
era5_2022_09_09_0000_2022244N38313,0,46.5,-31.5,45.0,-35.5,49.8,-30.5,45.0,54.75,-35.5,-25.75,352.28105926561454,652.739879450149
era5_2022_09_09_0600_2022244N38313,0,49.5,-33.25,46.0,-36.0,51.0,-31.099999999999994,46.25,56.0,-36.0,-26.25,440.07833153935104,662.5763080590577
era5_2022_09_09_1200_2022244N38313,0,49.0,-37.25,46.25,-38.0,51.1,-33.19999999999999,46.25,56.0,-38.25,-28.5,310.9044209906951,643.9342672696813
era5_2022_09_09_1800_2022244N38313,0,47.25,-38.5,45.0,-39.75,49.8,-34.80000000000001,45.0,54.75,-39.75,-30.0,268.0847944639033,650.5847424045315
era5_2022_09_10_0000_2022244N38313,0,45.25,-36.75,43.0,-39.0,47.8,-34.099999999999994,43.0,52.75,-39.0,-29.25,307.9438387466632,656.3838754222271
era5_2022_09_10_0600_2022244N38313,0,43.5,-34.0,41.25,-36.0,46.1,-31.19999999999999,41.25,51.0,-36.25,-26.5,299.28629166231684,662.938811060874
era5_2022_09_10_1200_2022244N38313,0,41.5,-31.75,40.25,-33.0,45.2,-28.0,40.5,50.25,-33.0,-23.25,174.2507655697767,685.0933284564237
era5_2022_09_10_1800_2022244N38313,0,41.25,-29.75,39.75,-31.0,44.7,-26.099999999999994,40.0,49.75,-31.0,-21.25,197.4542881496164,682.1651868862806
era5_2022_09_19_1200_2022263N29314,0,29.75,-45.5,29.0,-48.25,28.7,-46.30000000000001,24.0,33.75,-51.25,-41.5,279.20636711817104,192.82332418107765
era5_2022_09_19_1800_2022263N29314,0,29.25,-46.5,29.0,-48.25,29.6,-45.80000000000001,24.75,34.5,-50.75,-41.0,172.243233729897,246.7596168774261
era5_2022_09_20_0000_2022263N29314,0,30.5,-45.25,29.0,-48.0,30.4,-45.80000000000001,25.75,35.5,-50.75,-41.0,313.5118278153215,263.40317945227446
era5_2022_09_20_0600_2022263N29314,1,31.0,-45.0,29.0,-48.0,31.3,-45.900000000000006,26.5,36.25,-51.0,-41.25,364.5471610892775,325.831534868047
